observation_id,git_revision,benchmark_config_sha256,workload_sha256,library,library_version,renderer,workload_size,repeat_index,execution_order_index,render_ms,update_ms,browser_name,browser_version,viewport_width,viewport_height,device_pixel_ratio,status,failure_code
OBS-VIS-00001,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,D3,7.9.0,svg,100,7,1,17.7,15.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00002,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,Chart.js,4.4.8,canvas,10000,9,2,70.7,64.8,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00003,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,D3,7.9.0,svg,1000,3,3,17.7,16.6,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00004,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,Chart.js,4.4.8,canvas,1000,7,4,16.2,32.7,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00005,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,ECharts,5.6.0,canvas,1000,10,5,34.4,29.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00006,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,Chart.js,4.4.8,canvas,10000,3,6,82.3,80,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00007,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,ECharts,5.6.0,canvas,10000,8,7,258.5,196.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00008,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,D3,7.9.0,svg,100,9,8,17.5,17.5,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00009,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,D3,7.9.0,svg,100,6,9,17.1,32.6,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00010,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,ECharts,5.6.0,canvas,100,7,10,32.6,16.6,Edge,151.0.0.0,1440,900,1,COMPLETED,
