observation_id,git_revision,benchmark_config_sha256,workload_sha256,library,library_version,renderer,workload_size,repeat_index,execution_order_index,render_ms,update_ms,browser_name,browser_version,viewport_width,viewport_height,device_pixel_ratio,status,failure_code
OBS-VIS-00001,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,100,7,1,6,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00002,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,10000,9,2,32.5,33.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00003,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,1000,3,3,32.6,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00004,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,1000,7,4,16.6,33.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00005,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,1000,10,5,17.2,32.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00006,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,10000,3,6,28.8,31.7,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00007,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,10000,8,7,126.4,136,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00008,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,100,9,8,19.2,33.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00009,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,100,6,9,20.3,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00010,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,100,7,10,23.1,32.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00011,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,100,1,11,7.2,33.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00012,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,10000,10,12,113.2,109.6,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00013,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,1000,7,13,19.4,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00014,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,5000,5,14,47.5,40,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00015,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,10000,4,15,108.8,97.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00016,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,100,1,16,16.8,33.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00017,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,100,5,17,18.2,32.5,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00018,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,5000,6,18,19.5,33.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00019,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,100,2,19,21.8,33.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00020,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,10000,6,20,79.3,99.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00021,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,100,9,21,32.5,33.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00022,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,100,4,22,33,33.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00023,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,100,1,23,18.1,32.8,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00024,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,5000,4,24,59,59.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00025,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,1000,2,25,32,33,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00026,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,5000,1,26,32.6,33.6,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00027,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,5000,8,27,37.7,27.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00028,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,5000,10,28,44.3,55,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00029,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,5000,3,29,7.6,29.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00030,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,5000,3,30,28,25.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00031,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,10000,10,31,22.5,33.6,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00032,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,1000,10,32,31.8,33.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00033,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,1000,9,33,32.5,33.7,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00034,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,100,5,34,32.8,33.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00035,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,100,9,35,2.9,33,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00036,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,10000,7,36,82.9,86.6,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00037,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,10000,9,37,125.7,106.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00038,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,10000,7,38,20.7,33.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00039,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,100,5,39,32.8,33.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00040,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,5000,1,40,55.2,42.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00041,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,5000,9,41,44.9,42,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00042,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,1000,2,42,32.9,33.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00043,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,10000,5,43,65,50.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00044,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,5000,2,44,41.6,57.5,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00045,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,10000,2,45,82.2,83.8,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00046,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,D3,7.9.0,svg,10000,1,46,62,54,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00047,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,ECharts,5.6.0,canvas,1000,2,47,16.7,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00048,dea90c0962f03872e24c6959cea1959782d446a6,cd4a0cd4978924b94b857f5eb9d41046ec2cc1afb60e8d70561c01e9c079137a,16e3524d9f5dcef2e94abde4507a3b204de2bfa46e2016bc194d761d02ca663e,Chart.js,4.4.8,canvas,100,4,48,20,33.8,Edge,151.0.0.0,1440,900,1,COMPLETED,
