library,library_version,renderer,workload_size,n_repeats,n_valid,median_render_ms,iqr_render_ms,median_update_ms,iqr_update_ms
Chart.js,4.4.8,canvas,100,10,10,18.200,4.200,33.350,0.400
Chart.js,4.4.8,canvas,1000,10,10,23.000,15.500,33.300,0.100
Chart.js,4.4.8,canvas,5000,10,10,20.400,14.600,33.200,0.100
Chart.js,4.4.8,canvas,10000,10,10,25.900,12.000,33.400,0.200
D3,7.9.0,svg,100,10,10,18.550,3.600,33.350,0.200
D3,7.9.0,svg,1000,10,10,31.900,12.900,33.200,0.300
D3,7.9.0,svg,5000,10,10,37.300,7.500,33.200,13.000
D3,7.9.0,svg,10000,10,10,72.600,13.700,64.550,16.100
ECharts,5.6.0,canvas,100,10,10,27.800,15.200,33.100,0.300
ECharts,5.6.0,canvas,1000,10,10,18.300,9.600,33.200,0.200
ECharts,5.6.0,canvas,5000,10,10,43.200,3.300,54.550,8.600
ECharts,5.6.0,canvas,10000,10,10,88.500,33.600,94.050,19.800
