observation_id,git_revision,min_support,repeat_index,k,source,generated,pruned,evaluated,frequent,pruning_ratio
OBS-00001,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,7,1,singleton_scan,119,0,119,21,0.000000
OBS-00001,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,7,2,join_prune,210,0,210,97,0.000000
OBS-00001,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,7,3,join_prune,321,106,215,185,0.330218
OBS-00001,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,7,4,join_prune,305,119,186,170,0.390164
OBS-00001,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,7,5,join_prune,130,52,78,76,0.400000
OBS-00001,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,7,6,join_prune,18,3,15,15,0.166667
OBS-00001,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,7,7,join_prune,1,0,1,1,0.000000
OBS-00002,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,6,1,singleton_scan,119,0,119,24,0.000000
OBS-00002,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,6,2,join_prune,276,0,276,131,0.000000
OBS-00002,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,6,3,join_prune,563,208,355,310,0.369449
OBS-00002,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,6,4,join_prune,649,243,406,379,0.374422
OBS-00002,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,6,5,join_prune,390,134,256,250,0.343590
OBS-00002,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,6,6,join_prune,118,34,84,84,0.288136
OBS-00002,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,6,7,join_prune,16,5,11,11,0.312500
OBS-00003,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,9,1,singleton_scan,119,0,119,13,0.000000
OBS-00003,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,9,2,join_prune,78,0,78,41,0.000000
OBS-00003,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,9,3,join_prune,75,12,63,56,0.160000
OBS-00003,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,9,4,join_prune,48,9,39,35,0.187500
OBS-00003,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,9,5,join_prune,15,7,8,8,0.466667
OBS-00003,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,9,6,join_prune,1,1,0,0,1.000000
OBS-00004,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,7,1,singleton_scan,119,0,119,13,0.000000
OBS-00004,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,7,2,join_prune,78,0,78,41,0.000000
OBS-00004,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,7,3,join_prune,75,12,63,56,0.160000
OBS-00004,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,7,4,join_prune,48,9,39,35,0.187500
OBS-00004,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,7,5,join_prune,15,7,8,8,0.466667
OBS-00004,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,7,6,join_prune,1,1,0,0,1.000000
OBS-00005,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,3,1,singleton_scan,119,0,119,13,0.000000
OBS-00005,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,3,2,join_prune,78,0,78,41,0.000000
OBS-00005,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,3,3,join_prune,75,12,63,56,0.160000
OBS-00005,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,3,4,join_prune,48,9,39,35,0.187500
OBS-00005,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,3,5,join_prune,15,7,8,8,0.466667
OBS-00005,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,3,6,join_prune,1,1,0,0,1.000000
OBS-00006,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,4,1,singleton_scan,119,0,119,13,0.000000
OBS-00006,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,4,2,join_prune,78,0,78,41,0.000000
OBS-00006,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,4,3,join_prune,75,12,63,56,0.160000
OBS-00006,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,4,4,join_prune,48,9,39,35,0.187500
OBS-00006,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,4,5,join_prune,15,7,8,8,0.466667
OBS-00006,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,4,6,join_prune,1,1,0,0,1.000000
OBS-00007,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,1,1,singleton_scan,119,0,119,21,0.000000
OBS-00007,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,1,2,join_prune,210,0,210,97,0.000000
OBS-00007,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,1,3,join_prune,321,106,215,185,0.330218
OBS-00007,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,1,4,join_prune,305,119,186,170,0.390164
OBS-00007,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,1,5,join_prune,130,52,78,76,0.400000
OBS-00007,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,1,6,join_prune,18,3,15,15,0.166667
OBS-00007,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,1,7,join_prune,1,0,1,1,0.000000
OBS-00008,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,5,1,singleton_scan,119,0,119,13,0.000000
OBS-00008,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,5,2,join_prune,78,0,78,41,0.000000
OBS-00008,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,5,3,join_prune,75,12,63,56,0.160000
OBS-00008,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,5,4,join_prune,48,9,39,35,0.187500
OBS-00008,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,5,5,join_prune,15,7,8,8,0.466667
OBS-00008,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,5,6,join_prune,1,1,0,0,1.000000
OBS-00009,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,1,1,singleton_scan,119,0,119,13,0.000000
OBS-00009,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,1,2,join_prune,78,0,78,41,0.000000
OBS-00009,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,1,3,join_prune,75,12,63,56,0.160000
OBS-00009,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,1,4,join_prune,48,9,39,35,0.187500
OBS-00009,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,1,5,join_prune,15,7,8,8,0.466667
OBS-00009,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,1,6,join_prune,1,1,0,0,1.000000
OBS-00010,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,2,1,singleton_scan,119,0,119,8,0.000000
OBS-00010,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,2,2,join_prune,28,0,28,18,0.000000
OBS-00010,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,2,3,join_prune,23,4,19,17,0.173913
OBS-00010,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,2,4,join_prune,13,6,7,7,0.461538
OBS-00010,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,2,5,join_prune,2,1,1,1,0.500000
