observation_id,git_revision,experiment_config_sha256,dataset_sha256,environment_manifest_sha256,repeat_index,min_support,min_confidence,mining_status,rule_status,runtime_ms,rule_generation_runtime_ms,failure_stage,failure_code,failure_elapsed_ms,candidates_generated,candidates_pruned,candidates_evaluated,frequent_itemsets,rules_count,max_k
OBS-00001,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,7,0.4,0.75,COMPLETED,COMPLETED,5382.064,91.909,,,,1104,280,824,565,3576,7
OBS-00002,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,6,0.35,0.75,COMPLETED,COMPLETED,11857.161,367.533,,,,2131,624,1507,1189,11055,7
OBS-00003,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,9,0.5,0.75,COMPLETED,COMPLETED,1435.134,14.484,,,,336,29,307,153,664,5
OBS-00004,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,7,0.5,0.75,COMPLETED,COMPLETED,1601.538,12.237,,,,336,29,307,153,664,5
OBS-00005,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,3,0.5,0.75,COMPLETED,COMPLETED,1668.779,14.936,,,,336,29,307,153,664,5
OBS-00006,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,4,0.5,0.75,COMPLETED,COMPLETED,1381.315,11.156,,,,336,29,307,153,664,5
OBS-00007,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,1,0.4,0.75,COMPLETED,COMPLETED,5157.634,117.899,,,,1104,280,824,565,3576,7
OBS-00008,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,5,0.5,0.75,COMPLETED,COMPLETED,1413.022,18.360,,,,336,29,307,153,664,5
OBS-00009,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,1,0.5,0.75,COMPLETED,COMPLETED,1391.933,13.830,,,,336,29,307,153,664,5
OBS-00010,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,2,0.6,0.75,COMPLETED,COMPLETED,483.769,2.680,,,,185,11,174,51,223,5
OBS-00011,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,1,0.6,0.75,COMPLETED,COMPLETED,406.037,4.293,,,,185,11,174,51,223,5
OBS-00012,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,6,0.45,0.75,COMPLETED,COMPLETED,3036.502,47.074,,,,641,115,526,329,1859,6
OBS-00013,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,1,0.45,0.75,COMPLETED,COMPLETED,3086.909,52.569,,,,641,115,526,329,1859,6
OBS-00014,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,10,0.4,0.75,COMPLETED,COMPLETED,5256.797,94.385,,,,1104,280,824,565,3576,7
OBS-00015,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,5,0.45,0.75,COMPLETED,COMPLETED,3028.287,45.826,,,,641,115,526,329,1859,6
OBS-00016,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,1,0.35,0.75,COMPLETED,COMPLETED,12648.673,406.607,,,,2131,624,1507,1189,11055,7
OBS-00017,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,5,0.4,0.75,COMPLETED,COMPLETED,6652.841,152.322,,,,1104,280,824,565,3576,7
OBS-00018,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,5,0.35,0.75,COMPLETED,COMPLETED,14264.363,352.396,,,,2131,624,1507,1189,11055,7
OBS-00019,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,3,0.6,0.75,COMPLETED,COMPLETED,486.469,2.790,,,,185,11,174,51,223,5
OBS-00020,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,2,0.45,0.75,COMPLETED,COMPLETED,3297.592,56.218,,,,641,115,526,329,1859,6
OBS-00021,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,7,0.6,0.75,COMPLETED,COMPLETED,491.529,3.367,,,,185,11,174,51,223,5
OBS-00022,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,4,0.6,0.75,COMPLETED,COMPLETED,496.924,2.743,,,,185,11,174,51,223,5
OBS-00023,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,8,0.5,0.75,COMPLETED,COMPLETED,1396.236,25.942,,,,336,29,307,153,664,5
OBS-00024,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,2,0.4,0.75,COMPLETED,COMPLETED,5897.890,142.997,,,,1104,280,824,565,3576,7
OBS-00025,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,7,0.45,0.75,COMPLETED,COMPLETED,3603.210,53.824,,,,641,115,526,329,1859,6
OBS-00026,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,4,0.35,0.75,COMPLETED,COMPLETED,11470.979,352.426,,,,2131,624,1507,1189,11055,7
OBS-00027,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,10,0.5,0.75,COMPLETED,COMPLETED,1378.402,14.802,,,,336,29,307,153,664,5
OBS-00028,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,8,0.45,0.75,COMPLETED,COMPLETED,3051.890,51.277,,,,641,115,526,329,1859,6
OBS-00029,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,9,0.4,0.75,COMPLETED,COMPLETED,5466.910,120.537,,,,1104,280,824,565,3576,7
OBS-00030,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,3,0.4,0.75,COMPLETED,COMPLETED,5990.841,112.792,,,,1104,280,824,565,3576,7
OBS-00031,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,9,0.45,0.75,COMPLETED,COMPLETED,3347.935,48.397,,,,641,115,526,329,1859,6
OBS-00032,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,8,0.35,0.75,COMPLETED,COMPLETED,12145.544,372.236,,,,2131,624,1507,1189,11055,7
OBS-00033,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,6,0.6,0.75,COMPLETED,COMPLETED,549.220,3.964,,,,185,11,174,51,223,5
OBS-00034,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,2,0.35,0.75,COMPLETED,COMPLETED,18657.469,632.385,,,,2131,624,1507,1189,11055,7
OBS-00035,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,10,0.45,0.75,COMPLETED,COMPLETED,5040.229,79.191,,,,641,115,526,329,1859,6
OBS-00036,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,7,0.35,0.75,COMPLETED,COMPLETED,17694.626,654.653,,,,2131,624,1507,1189,11055,7
OBS-00037,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,5,0.6,0.75,COMPLETED,COMPLETED,766.782,8.629,,,,185,11,174,51,223,5
OBS-00038,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,8,0.6,0.75,COMPLETED,COMPLETED,823.743,9.397,,,,185,11,174,51,223,5
OBS-00039,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,9,0.6,0.75,COMPLETED,COMPLETED,803.633,6.123,,,,185,11,174,51,223,5
OBS-00040,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,6,0.4,0.75,COMPLETED,COMPLETED,9110.415,181.055,,,,1104,280,824,565,3576,7
OBS-00041,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,4,0.4,0.75,COMPLETED,COMPLETED,9024.819,250.445,,,,1104,280,824,565,3576,7
OBS-00042,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,10,0.35,0.75,COMPLETED,COMPLETED,13830.523,359.553,,,,2131,624,1507,1189,11055,7
OBS-00043,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,8,0.4,0.75,COMPLETED,COMPLETED,5577.343,102.338,,,,1104,280,824,565,3576,7
OBS-00044,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,6,0.5,0.75,COMPLETED,COMPLETED,1629.933,17.604,,,,336,29,307,153,664,5
OBS-00045,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,3,0.45,0.75,COMPLETED,COMPLETED,3537.076,55.117,,,,641,115,526,329,1859,6
OBS-00046,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,9,0.35,0.75,COMPLETED,COMPLETED,18876.312,486.949,,,,2131,624,1507,1189,11055,7
OBS-00047,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,47861199a9fb4297904fcdf425c8deb97b90666c3ea1d5f9d2b966a5b47a2b31,e65d082030501a3ebcbcd7c9f7c71aa9d28fdfff463bf4cf4716a3fe13ac360e,2c2385f1e90c209804e3c448cc799fe30e62d7cf3cbb819bca0ea6ae97b9dc1b,3,0.35,0.75,COMPLETED,COMPLETED,15994.133,594.038,,,,2131,624,1507,1189,11055,7
