min_support,k,source,generated,pruned,evaluated,frequent,pruning_ratio
0.60,1,singleton_scan,119,0,119,8,0.000000
0.60,2,join_prune,28,0,28,18,0.000000
0.60,3,join_prune,23,4,19,17,0.173913
0.60,4,join_prune,13,6,7,7,0.461538
0.60,5,join_prune,2,1,1,1,0.500000
0.50,1,singleton_scan,119,0,119,13,0.000000
0.50,2,join_prune,78,0,78,41,0.000000
0.50,3,join_prune,75,12,63,56,0.160000
0.50,4,join_prune,48,9,39,35,0.187500
0.50,5,join_prune,15,7,8,8,0.466667
0.50,6,join_prune,1,1,0,0,1.000000
0.45,1,singleton_scan,119,0,119,18,0.000000
0.45,2,join_prune,153,0,153,67,0.000000
0.45,3,join_prune,175,60,115,110,0.342857
0.45,4,join_prune,139,43,96,91,0.309353
0.45,5,join_prune,49,12,37,37,0.244898
0.45,6,join_prune,6,0,6,6,0.000000
0.40,1,singleton_scan,119,0,119,21,0.000000
0.40,2,join_prune,210,0,210,97,0.000000
0.40,3,join_prune,321,106,215,185,0.330218
0.40,4,join_prune,305,119,186,170,0.390164
0.40,5,join_prune,130,52,78,76,0.400000
0.40,6,join_prune,18,3,15,15,0.166667
0.40,7,join_prune,1,0,1,1,0.000000
0.35,1,singleton_scan,119,0,119,24,0.000000
0.35,2,join_prune,276,0,276,131,0.000000
0.35,3,join_prune,563,208,355,310,0.369449
0.35,4,join_prune,649,243,406,379,0.374422
0.35,5,join_prune,390,134,256,250,0.343590
0.35,6,join_prune,118,34,84,84,0.288136
0.35,7,join_prune,16,5,11,11,0.312500
